Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 71,147,6.80%,€ 0.49,"2,168",147,6.80%,"2,168",0,0,0,0.00%,€ 0.49,€ 32.97,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 76,157,7.90%,€ 0.48,"1,992",157,7.90%,"1,992",0,0,0,0.00%,€ 0.48,€ 37.97,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 107,183,8.40%,€ 0.59,"2,169",183,8.40%,"2,169",0,0,0,0.00%,€ 0.59,€ 49.36,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 140,226,7.90%,€ 0.62,"2,851",226,7.90%,"2,851",0,0,0,0.00%,€ 0.62,€ 49.20,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 134,244,10.90%,€ 0.55,"2,238",244,10.90%,"2,238",0,0,0,0.00%,€ 0.55,€ 59.73,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 146,228,8.90%,€ 0.64,"2,566",228,8.90%,"2,566",0,0,0,0.00%,€ 0.64,€ 56.71,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 141,235,9.30%,€ 0.60,"2,521",235,9.30%,"2,521",0,0,0,0.00%,€ 0.60,€ 55.88,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 109,172,7.70%,€ 0.64,"2,234",172,7.70%,"2,234",0,0,0,0.00%,€ 0.64,€ 48.89,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 121,203,8.30%,€ 0.60,"2,438",203,8.30%,"2,438",0,0,0,0.00%,€ 0.60,€ 49.83,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 124,205,8.30%,€ 0.61,"2,474",205,8.30%,"2,474",0,0,0,0.00%,€ 0.61,€ 50.23,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 174,261,9.70%,€ 0.67,"2,700",261,9.70%,"2,700",0,0,0,0.00%,€ 0.67,€ 64.62,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 135,240,7.80%,€ 0.56,"3,062",240,7.80%,"3,062",0,0,0,0.00%,€ 0.56,€ 44.03,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,190,7.50%,€ 0.46,"2,525",190,7.50%,"2,525",0,0,0,0.00%,€ 0.46,€ 34.69,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 141,242,10.20%,€ 0.58,"2,378",242,10.20%,"2,378",0,0,0,0.00%,€ 0.58,€ 59.43,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 217,295,7.30%,€ 0.73,"4,040",295,7.30%,"4,040",0,0,0,0.00%,€ 0.73,€ 53.60,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 152,251,7.30%,€ 0.61,"3,418",251,7.30%,"3,418",0,0,0,0.00%,€ 0.61,€ 44.58,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 103,235,8.60%,€ 0.44,"2,727",235,8.60%,"2,727",0,0,0,0.00%,€ 0.44,€ 37.85,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,May-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 51,135,8.70%,€ 0.38,"1,551",135,8.70%,"1,551",0,0,0,0.00%,€ 0.38,€ 33.02,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 20,91,11.90%,€ 0.22,762,91,11.90%,762,0,0,0,0.00%,€ 0.22,€ 26.23,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 35,123,11.30%,€ 0.29,"1,087",123,11.30%,"1,087",0,0,0,0.00%,€ 0.29,€ 32.37,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 46,87,10.50%,€ 0.53,827,87,10.50%,827,0,0,0,0.00%,€ 0.53,€ 55.48,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 178,260,8.50%,€ 0.68,"3,061",260,8.50%,"3,061",0,0,0,0.00%,€ 0.68,€ 58.13,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 107,207,8.40%,€ 0.51,"2,463",207,8.40%,"2,463",0,0,0,0.00%,€ 0.51,€ 43.24,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 119,228,9.10%,€ 0.52,"2,508",228,9.10%,"2,508",0,0,0,0.00%,€ 0.52,€ 47.40,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 145,233,10.20%,€ 0.62,"2,277",233,10.20%,"2,277",0,0,0,0.00%,€ 0.62,€ 63.80,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 119,181,8.60%,€ 0.66,"2,099",181,8.60%,"2,099",0,0,0,0.00%,€ 0.66,€ 56.72,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 134,156,7.90%,€ 0.86,"1,963",156,7.90%,"1,963",0,0,0,0.00%,€ 0.86,€ 68.39,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 134,184,10.80%,€ 0.73,"1,705",184,10.80%,"1,705",0,0,0,0.00%,€ 0.73,€ 78.48,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 135,149,9.90%,€ 0.91,"1,508",149,9.90%,"1,508",0,0,0,0.00%,€ 0.91,€ 89.56,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 135,232,12.70%,€ 0.58,"1,825",232,12.70%,"1,825",0,0,0,0.00%,€ 0.58,€ 74.08,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Apr-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 134,198,10.90%,€ 0.68,"1,818",198,10.90%,"1,818",0,0,0,0.00%,€ 0.68,€ 73.69,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Apr-25,Conversion,de_bio_insta_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 7,25,1.80%,€ 0.29,"1,379",25,1.80%,"1,379","2,905",34,119,8.60%,€ 0.29,€ 5.30,1.20%,€ 0.00,€ 0.06
 Paid Social , tiktok , Shop Apotheke ,Apr-25,Conversion,de_bio_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 777,"2,814",0.50%,€ 0.28,"600,820","2,814",0.50%,"173,077","598,508","5,166",100,3.60%,€ 0.28,€ 1.29,0.90%,€ 0.15,€ 7.77
 Paid Social , tiktok , Shop Apotheke ,Apr-25,Conversion,de_bio_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 679,"2,339",0.50%,€ 0.29,"497,726","2,339",0.50%,"147,231","495,923","1,519",83,3.50%,€ 0.29,€ 1.36,0.30%,€ 0.45,€ 8.18
 Paid Social , tiktok , Shop Apotheke ,Apr-25,Conversion,de_bio_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 65,274,0.50%,€ 0.24,"51,903",274,0.50%,"30,481","51,714",36,9,3.30%,€ 0.24,€ 1.25,0.10%,€ 1.81,€ 7.23
 Paid Social , tiktok , Bioderma ,Mar-25,Conversion,de_bio_acq_darkpost_sensibio_30-years-sensibio-h2o_consideration,Clicks,€ 500,"2,490",0.90%,€ 0.20,"277,294","2,490",0.90%,"100,517","267,723",118,40,1.60%,€ 0.20,€ 1.80,0.00%,€ 4.24,€ 12.50
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Eva-Allgemein,Clicks,€ 198,730,0.50%,€ 0.27,"145,495",730,0.50%,"70,898","144,918",139,152,20.80%,€ 0.27,€ 1.36,0.10%,€ 1.42,€ 1.30
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Zeynep-XMAS,Clicks,€ 171,596,0.50%,€ 0.29,"120,397",596,0.50%,"67,437","120,073",125,34,5.70%,€ 0.29,€ 1.42,0.10%,€ 1.37,€ 5.03
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Mareike-Allgemein,Clicks,€ 112,379,0.50%,€ 0.30,"81,214",379,0.50%,"54,487","80,962",96,20,5.30%,€ 0.30,€ 1.38,0.10%,€ 1.17,€ 5.61
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Fabienne-XMAS,Clicks,€ 111,346,0.50%,€ 0.32,"67,430",346,0.50%,"44,732","67,156",92,44,12.70%,€ 0.32,€ 1.64,0.10%,€ 1.20,€ 2.51
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Leila-XMAS,Clicks,€ 110,380,0.60%,€ 0.29,"68,026",380,0.60%,"43,646","67,811",69,49,12.90%,€ 0.29,€ 1.62,0.10%,€ 1.60,€ 2.25
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Fabienne-Allgemein,Clicks,€ 107,322,0.50%,€ 0.33,"66,424",322,0.50%,"42,783","66,190",71,22,6.80%,€ 0.33,€ 1.61,0.10%,€ 1.51,€ 4.86
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Xeina-XMAS,Clicks,€ 91,267,0.50%,€ 0.34,"57,125",267,0.50%,"38,069","56,921",83,20,7.50%,€ 0.34,€ 1.60,0.10%,€ 1.10,€ 4.57
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Mareike-XMAS,Clicks,€ 78,255,0.50%,€ 0.31,"50,741",255,0.50%,"34,208","50,560",64,17,6.70%,€ 0.31,€ 1.53,0.10%,€ 1.22,€ 4.58
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Zeynep-Allgemein,Clicks,€ 67,213,0.50%,€ 0.32,"43,831",213,0.50%,"31,328","43,704",77,9,4.20%,€ 0.32,€ 1.53,0.20%,€ 0.87,€ 7.46
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Leila-Allgemein,Clicks,€ 67,163,0.50%,€ 0.41,"35,981",163,0.50%,"28,734","35,828",47,8,4.90%,€ 0.41,€ 1.86,0.10%,€ 1.43,€ 8.38
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Eva-XMAS,Clicks,€ 47,129,0.50%,€ 0.37,"28,400",129,0.50%,"20,385","28,270",17,15,11.60%,€ 0.37,€ 1.67,0.10%,€ 2.78,€ 3.16
 Paid Social , tiktok , Bioderma ,Dec-24,Conversion,BIO-2024-25-Off-Xeina-Allgemein,Clicks,€ 30,61,0.40%,€ 0.49,"16,319",61,0.40%,"14,150","16,217",25,10,16.40%,€ 0.49,€ 1.82,0.20%,€ 1.19,€ 2.98
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 117,191,9.90%,€ 0.61,"1,933",191,9.90%,"1,933",0,0,0,0.00%,€ 0.61,€ 60.72,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 147,198,7.90%,€ 0.74,"2,500",198,7.90%,"2,500",0,0,0,0.00%,€ 0.74,€ 58.90,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 131,199,11.50%,€ 0.66,"1,734",199,11.50%,"1,734",0,0,0,0.00%,€ 0.66,€ 75.35,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 139,172,7.00%,€ 0.81,"2,450",172,7.00%,"2,450",0,0,0,0.00%,€ 0.81,€ 56.75,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 108,169,8.00%,€ 0.64,"2,105",169,8.00%,"2,105",0,0,0,0.00%,€ 0.64,€ 51.14,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,150,7.70%,€ 0.59,"1,943",150,7.70%,"1,943",0,0,0,0.00%,€ 0.59,€ 45.36,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 127,189,9.10%,€ 0.67,"2,072",189,9.10%,"2,072",0,0,0,0.00%,€ 0.67,€ 61.32,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 122,201,10.00%,€ 0.61,"2,020",201,10.00%,"2,020",0,0,0,0.00%,€ 0.61,€ 60.28,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 176,223,10.70%,€ 0.79,"2,092",223,10.70%,"2,092",0,0,0,0.00%,€ 0.79,€ 84.36,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 166,200,7.30%,€ 0.83,"2,723",200,7.30%,"2,723",0,0,0,0.00%,€ 0.83,€ 60.94,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 97,149,7.40%,€ 0.65,"2,021",149,7.40%,"2,021",0,0,0,0.00%,€ 0.65,€ 47.99,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 92,154,8.90%,€ 0.59,"1,738",154,8.90%,"1,738",0,0,0,0.00%,€ 0.59,€ 52.69,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 142,196,7.70%,€ 0.72,"2,539",196,7.70%,"2,539",0,0,0,0.00%,€ 0.72,€ 55.90,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 115,175,7.10%,€ 0.66,"2,448",175,7.10%,"2,448",0,0,0,0.00%,€ 0.66,€ 46.97,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 108,190,9.10%,€ 0.57,"2,096",190,9.10%,"2,096",0,0,0,0.00%,€ 0.57,€ 51.61,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 208,275,9.30%,€ 0.76,"2,968",275,9.30%,"2,968",0,0,0,0.00%,€ 0.76,€ 70.21,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 116,176,7.10%,€ 0.66,"2,494",176,7.10%,"2,494",0,0,0,0.00%,€ 0.66,€ 46.68,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 103,159,9.10%,€ 0.65,"1,738",159,9.10%,"1,738",0,0,0,0.00%,€ 0.65,€ 59.46,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 109,172,8.00%,€ 0.64,"2,149",172,8.00%,"2,149",0,0,0,0.00%,€ 0.64,€ 50.87,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 114,174,7.60%,€ 0.66,"2,301",174,7.60%,"2,301",0,0,0,0.00%,€ 0.66,€ 49.68,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 131,185,9.20%,€ 0.71,"2,003",185,9.20%,"2,003",0,0,0,0.00%,€ 0.71,€ 65.57,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 136,182,8.60%,€ 0.74,"2,109",182,8.60%,"2,109",0,0,0,0.00%,€ 0.74,€ 64.27,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 217,226,7.60%,€ 0.96,"2,991",226,7.60%,"2,991",0,0,0,0.00%,€ 0.96,€ 72.53,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 108,174,7.10%,€ 0.62,"2,451",174,7.10%,"2,451",0,0,0,0.00%,€ 0.62,€ 44.00,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 98,150,7.20%,€ 0.66,"2,090",150,7.20%,"2,090",0,0,0,0.00%,€ 0.66,€ 47.04,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 115,177,7.30%,€ 0.65,"2,435",177,7.30%,"2,435",0,0,0,0.00%,€ 0.65,€ 47.09,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 122,193,7.10%,€ 0.63,"2,710",193,7.10%,"2,710",0,0,0,0.00%,€ 0.63,€ 45.19,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 137,213,7.90%,€ 0.64,"2,683",213,7.90%,"2,683",0,0,0,0.00%,€ 0.64,€ 50.88,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jul-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 137,215,8.90%,€ 0.64,"2,411",215,8.90%,"2,411",0,0,0,0.00%,€ 0.64,€ 56.93,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jun-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 97,170,6.40%,€ 0.57,"2,654",170,6.40%,"2,654",0,0,0,0.00%,€ 0.57,€ 36.46,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jun-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 75,151,7.60%,€ 0.49,"1,979",151,7.60%,"1,979",0,0,0,0.00%,€ 0.49,€ 37.71,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jun-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 98,166,7.30%,€ 0.59,"2,274",166,7.30%,"2,274",0,0,0,0.00%,€ 0.59,€ 43.23,0.00%, € -   , € -   
 Paid Search , google , BIODERMA ,Jun-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 106,177,9.00%,€ 0.60,"1,970",177,9.00%,"1,970",0,0,0,0.00%,€ 0.60,€ 53.74,0.00%, € -   , € -   
